Product.Description,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020
Product 84,541,149,57,126,313,253,955,828,201,639,616,806,992,666,764,887,905,305,291,154,879,218,602,687,563,687,324,239,763,99,629,591,407,128,600,501,984,141,825,945,791
Product 85,969,103,321,994,578,244,816,628,331,63,142,137,384,524,254,970,981,421,416,242,266,560,188,845,695,845,115,562,605,842,765,307,170,274,277,469,574,97,312,390,742
Product 86,214,197,406,402,49,554,179,521,622,465,604,197,899,144,243,528,786,798,190,973,744,233,407,78,130,215,74,623,741,310,95,269,133,675,336,942,511,40,293,871,678
Product 87,63,96,160,456,381,956,392,667,498,746,107,230,290,111,271,514,475,731,963,951,496,461,352,246,932,812,315,87,540,11,935,926,947,30,749,614,685,819,320,3,223
Product 88,406,488,912,219,216,954,201,327,476,336,853,691,741,935,385,903,269,125,315,984,828,76,714,505,702,50,518,844,900,625,740,157,775,676,4,12,4,652,485,585,397
Product 89,742,827,318,334,624,2,463,858,633,963,683,418,769,707,108,186,654,998,287,818,633,824,614,582,382,442,731,383,836,357,44,280,931,323,527,766,521,96,804,425,483
Product 90,883,583,32,498,28,439,328,875,538,110,76,81,752,830,739,989,985,346,703,4,326,780,701,413,837,963,38,641,933,903,705,223,444,290,598,828,323,335,380,367,688
Product 91,854,874,433,430,313,353,451,886,680,663,341,880,650,803,945,389,198,917,771,586,192,319,383,507,616,189,181,388,350,862,449,475,50,685,300,573,475,509,818,374,499
Product 92,676,641,189,782,161,528,352,929,953,268,259,430,50,570,170,27,208,657,439,626,982,349,222,533,772,597,698,235,704,545,668,145,921,963,805,34,48,241,526,626,614
Product 93,591,863,282,474,106,63,558,496,886,379,559,4,573,147,342,468,451,245,970,909,743,383,111,253,823,248,402,753,697,271,261,942,218,161,714,973,482,327,241,989,542
Product 94,169,855,966,164,872,194,848,193,857,496,861,154,282,251,665,807,696,946,370,381,44,351,865,97,17,503,666,851,676,433,666,371,545,640,601,756,574,349,355,848,776
Product 95,249,642,951,776,941,476,596,361,848,91,520,531,283,290,599,783,839,200,251,543,865,974,24,676,136,633,625,685,938,168,846,816,209,2,443,419,893,922,697,591,444
Product 96,917,447,122,876,731,556,763,672,415,588,863,387,684,157,312,65,1,64,49,915,804,1,949,950,312,995,257,633,769,571,163,829,415,211,388,932,569,181,395,469,678
Product 97,512,888,556,359,265,456,326,845,9,387,23,186,79,839,328,158,534,33,995,764,69,306,609,940,159,187,454,830,925,712,188,186,451,99,446,621,610,536,572,169,611
Product 98,538,389,264,15,25,66,814,582,819,225,112,202,542,704,677,628,106,800,670,902,268,381,542,326,787,605,751,993,179,672,685,24,449,168,2,54,71,240,383,877,33
Product 99,226,845,800,294,138,994,542,752,322,13,916,933,62,89,557,480,349,635,202,900,431,339,823,471,157,381,728,21,368,976,771,384,735,446,559,838,677,49,963,160,483
Product 100,103,117,129,938,171,637,329,753,389,893,666,321,276,136,76,581,244,915,300,444,10,136,909,301,871,850,448,767,722,271,496,138,936,456,444,391,992,88,237,494,517
Product 101,533,906,381,388,935,924,574,474,971,562,947,878,381,916,392,580,806,940,292,160,769,892,611,546,50,162,702,647,363,943,146,26,597,935,29,508,507,108,71,795,830
Product 102,952,510,134,581,845,354,337,37,167,135,205,879,311,537,842,446,236,271,227,997,563,813,203,141,394,358,725,482,401,226,667,759,46,804,732,139,157,46,702,674,322
Product 103,714,571,773,901,455,768,853,602,253,186,258,526,381,917,369,419,27,974,97,438,786,534,384,51,299,69,802,306,659,629,927,711,536,229,162,154,1000,618,688,675,216
Product 104,16,618,741,834,653,860,795,533,915,321,127,81,551,919,750,882,913,766,606,518,413,257,54,46,700,229,649,115,228,332,656,451,531,1,562,398,995,224,985,69,497
Product 105,863,652,993,887,416,783,522,668,284,773,958,659,630,620,753,509,740,449,186,456,562,652,115,760,906,216,786,648,183,987,986,789,168,322,125,537,252,583,827,642,840
Product 106,130,90,642,494,178,876,607,665,932,707,53,48,982,95,515,215,293,991,45,365,822,27,255,257,539,765,972,153,240,940,563,188,810,367,150,293,896,337,19,983,441
Product 107,177,499,618,130,509,850,491,988,687,372,488,887,713,700,274,852,75,737,721,994,630,646,611,732,390,0,184,617,879,827,814,583,483,425,322,164,652,38,889,741,502
Product 108,783,545,368,63,787,757,234,972,21,319,563,306,240,448,397,938,56,490,169,721,270,184,410,760,532,22,87,916,46,349,437,500,7,773,111,768,529,888,607,221,167
Product 109,877,668,686,963,680,31,980,279,691,944,88,767,993,715,489,635,341,413,531,187,96,325,406,155,516,898,500,622,408,163,886,67,843,849,246,502,973,521,842,421,811
Product 110,120,616,26,616,751,391,550,39,17,46,962,291,461,700,673,33,520,263,831,975,758,541,595,547,604,223,832,928,921,960,720,554,280,571,216,49,818,329,95,278,521
Product 111,547,60,934,252,726,809,27,625,867,70,235,362,810,97,777,542,89,206,54,312,581,949,126,440,815,858,793,515,943,16,831,124,554,848,357,90,437,324,131,752,642
Product 112,129,636,405,967,631,766,400,388,418,340,633,0,171,14,732,255,310,893,873,799,541,574,738,914,918,587,24,883,638,718,193,193,450,431,498,58,80,758,60,200,179
Product 113,558,319,942,712,468,80,520,578,474,949,215,372,235,792,646,910,516,831,222,39,728,96,605,233,928,748,178,168,819,315,275,471,163,465,203,61,50,948,6,862,375
Product 114,423,979,145,210,679,269,394,604,738,526,523,526,578,546,309,783,869,204,960,625,887,802,571,116,181,960,889,853,445,725,411,8,439,478,866,486,849,53,789,388,880
Product 115,569,594,645,160,858,990,75,32,679,158,472,843,227,820,517,550,861,731,679,611,477,204,644,362,345,301,397,99,512,11,696,289,951,409,584,485,121,176,894,84,714
Product 116,382,188,738,996,380,123,16,406,470,597,167,623,799,883,1,504,460,939,152,740,936,198,153,375,530,883,864,587,13,966,886,481,535,904,800,831,864,807,63,253,551
Product 117,207,687,81,681,239,144,145,331,400,938,417,731,856,417,95,128,240,998,582,74,772,551,552,551,65,553,468,821,217,256,208,822,905,779,324,74,724,656,471,800,456
Product 118,157,71,161,865,876,215,504,998,123,584,862,695,806,139,602,858,656,111,927,630,438,37,889,413,943,899,23,820,50,170,630,98,33,962,638,982,725,109,199,283,387
Product 119,305,184,687,219,192,322,863,52,52,361,547,421,367,862,164,227,563,662,143,495,608,786,631,45,844,722,400,686,895,485,571,276,461,708,256,73,756,236,482,746,304
Product 120,838,656,658,274,802,537,598,174,781,731,476,64,316,808,84,806,384,646,940,801,244,681,49,153,748,52,127,454,209,530,96,730,642,946,819,905,630,441,721,831,977
Product 121,720,269,696,201,844,698,189,78,824,426,733,853,942,74,887,605,205,590,564,464,625,505,102,532,176,314,728,892,869,657,467,123,53,179,201,309,270,366,267,912,385
Product 122,791,446,223,416,444,402,771,915,102,432,83,68,285,547,286,123,464,432,738,730,646,892,397,825,826,640,692,450,2,498,167,197,585,546,447,548,133,249,342,223,222
Product 123,736,909,270,120,398,506,193,472,575,855,690,256,885,51,710,35,182,372,595,68,403,466,124,613,518,203,69,523,17,116,86,413,434,858,469,994,676,790,649,454,898
Product 124,648,50,346,102,203,490,260,489,94,206,81,636,425,922,97,792,339,946,113,619,595,305,149,122,482,174,320,107,789,742,102,819,781,910,938,808,335,730,377,858,956
Product 125,711,960,629,259,600,64,332,608,307,67,49,131,159,257,636,95,550,798,481,679,195,11,123,912,187,111,34,133,516,1,739,668,193,848,723,16,430,905,561,154,651
Product 126,252,60,674,234,628,789,1,186,485,655,20,74,483,210,339,948,134,23,414,617,694,465,626,37,920,654,340,481,22,832,909,788,766,380,879,235,369,216,917,184,148
Product 127,503,951,229,869,793,948,815,270,737,475,827,921,312,707,118,335,388,90,573,939,408,685,407,291,122,982,486,311,186,616,676,694,85,328,245,610,905,763,722,756,850
Product 128,306,603,778,387,314,83,792,907,381,581,326,715,543,228,581,948,645,316,507,43,487,970,720,173,869,319,697,241,986,574,139,948,695,603,797,504,567,50,217,228,108
Product 129,698,826,130,145,308,24,783,706,446,747,463,129,913,759,376,101,259,641,558,649,107,446,970,894,248,365,466,546,397,465,208,883,279,784,672,48,621,738,315,281,247
Product 130,190,25,409,445,258,279,143,845,534,812,544,597,60,904,280,301,732,62,718,564,622,815,30,87,284,260,340,103,975,681,209,861,628,790,184,173,332,122,572,532,195
Product 131,664,825,41,798,29,598,93,952,587,442,453,642,704,54,610,963,650,626,664,686,698,807,554,974,40,952,864,842,530,761,558,180,932,922,571,225,22,947,561,175,369
Product 132,54,85,290,986,355,249,836,158,601,638,508,651,358,614,229,193,308,617,421,730,286,866,989,808,890,558,314,396,465,728,770,542,679,90,127,456,467,598,23,885,218
Product 133,161,39,569,132,576,54,751,565,928,996,544,862,530,60,630,237,787,882,676,918,104,805,949,457,204,726,189,352,183,894,167,136,485,139,85,574,614,562,495,268,43
Product 134,891,54,737,83,130,66,668,21,728,251,275,328,37,303,697,350,765,590,865,174,433,471,391,588,718,417,187,217,538,503,895,723,530,457,842,681,44,772,832,239,613
Product 135,705,527,127,616,838,80,148,410,76,273,503,809,104,454,409,679,410,832,291,70,877,640,421,568,592,365,632,305,439,32,95,100,43,107,884,881,644,262,94,330,2
Product 136,872,614,440,463,246,425,401,168,989,421,320,144,568,322,505,652,39,679,676,923,245,356,692,146,100,719,568,369,555,871,410,952,359,712,474,509,473,24,204,357,747
Product 137,242,850,479,485,508,661,785,331,288,110,931,443,610,654,978,809,861,862,1,605,556,646,396,937,786,925,833,85,84,679,841,120,422,990,868,230,645,341,338,659,23
Product 138,955,652,897,268,788,263,689,26,192,604,254,10,279,324,683,895,279,759,357,118,354,62,695,183,634,313,884,400,610,510,924,585,636,976,624,425,115,204,390,446,786
Product 139,679,951,852,545,810,603,419,903,454,41,852,872,878,717,26,192,505,767,588,419,992,781,853,959,207,364,732,788,420,139,30,784,670,19,181,577,180,425,254,598,687
Product 140,887,405,554,468,296,320,567,79,811,79,581,758,176,8,786,315,789,17,548,359,861,746,349,269,444,588,145,911,346,151,63,655,837,235,39,599,369,166,564,112,35
Product 141,765,655,174,140,131,100,677,842,647,36,974,199,78,645,178,340,215,144,621,926,672,626,496,95,260,423,847,726,748,434,8,372,718,284,605,652,401,115,583,235,765
Product 142,425,575,728,341,546,632,661,264,651,311,783,934,434,969,215,850,535,515,205,688,437,25,360,632,590,163,759,739,867,983,610,663,898,512,170,640,882,868,92,356,669
Product 143,501,81,458,465,332,501,887,564,505,702,565,37,27,67,342,82,795,572,800,181,406,797,930,699,48,308,482,749,478,491,822,742,277,369,887,318,648,366,851,526,88
Product 144,129,732,928,899,594,701,780,993,209,346,477,952,232,593,809,974,550,165,291,417,801,939,148,668,706,178,368,448,40,120,729,206,300,139,258,903,903,524,865,132,691
Product 145,805,133,296,192,285,163,90,499,219,865,630,608,84,205,230,177,536,664,109,375,224,525,374,586,173,141,913,28,718,50,577,806,941,225,757,284,436,894,128,674,15
Product 146,243,296,260,2,892,489,152,158,549,667,867,318,596,288,926,415,624,633,538,151,668,836,819,164,430,118,497,144,405,223,39,884,970,711,811,302,412,423,132,816,105
Product 147,919,696,86,316,571,622,632,658,58,75,145,762,183,600,363,668,338,292,914,607,771,703,743,639,369,117,208,575,852,575,837,502,33,289,629,49,548,170,207,217,982
Product 148,697,249,516,877,543,150,434,687,438,129,318,320,410,191,231,123,15,226,689,483,773,938,977,803,921,381,944,833,9,129,519,736,29,586,573,58,692,29,49,968,59
Product 149,997,391,819,235,65,680,302,507,677,764,885,929,583,369,593,713,635,489,445,215,939,948,788,86,1,394,1,51,172,453,140,149,285,280,247,382,879,171,541,10,780
Product 150,421,193,947,608,117,506,160,692,292,495,486,732,345,10,613,962,343,472,160,20,589,588,357,883,403,935,860,72,601,431,512,766,126,503,494,290,844,381,694,50,34
Product 151,222,757,193,825,157,939,193,690,488,83,563,824,200,585,880,326,280,552,477,754,396,202,569,965,815,560,407,936,633,179,914,681,838,298,525,917,273,800,513,524,418
Product 152,526,494,979,920,784,954,892,122,369,338,556,396,80,525,872,995,107,792,505,270,184,533,292,568,43,171,950,477,683,426,93,680,228,734,390,897,299,757,858,108,687
Product 153,216,206,346,469,204,916,543,377,20,897,755,716,71,156,538,500,112,928,488,545,275,923,420,120,722,831,232,183,961,843,884,401,173,846,204,984,742,890,631,219,287
