Country,Product.Description,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020
France,Product 16,891,21,172,268,41,,,,,,,6,617,906,593,416,566,101,555,979,380,729,774,812,32,846,717,144,968,932,137,970,974,86,460,391,804,267,683,250,836
France,Product 17,718,79,322,875,307,197,180,968,312,986,384,920,603,103,958,75,793,281,707,373,551,581,829,891,853,673,970,674,965,993,332,497,857,192,665,467,540,66,1,968,670
France,Product 18,282,895,713,60,618,881,177,814,701,182,837,337,854,607,778,525,540,651,240,248,699,910,434,549,498,163,10,821,284,502,866,319,715,435,722,640,624,991,548,261,588
France,Product 19,221,453,29,445,143,901,640,889,341,371,413,633,366,167,141,832,600,107,25,314,5,207,504,824,273,592,24,516,17,306,977,235,754,630,109,625,995,365,123,712,450
France,Product 20,915,617,21,324,534,758,270,880,175,848,949,475,520,503,518,343,787,374,301,555,53,89,951,289,938,445,870,559,965,259,288,106,277,970,52,258,688,936,119,324,414
France,Product 21,574,534,933,270,585,932,161,223,633,90,127,402,382,388,863,197,262,978,986,447,357,151,925,650,293,701,289,550,656,749,440,266,830,477,109,267,557,359,818,997,222
France,Product 22,659,625,294,297,901,393,82,274,996,155,168,217,278,236,101,457,53,897,859,867,289,7,370,185,507,163,821,304,152,104,966,101,288,134,682,165,241,40,440,341,21
France,Product 23,538,499,486,402,495,318,109,286,509,106,987,11,927,347,100,457,839,96,120,59,984,457,577,730,836,728,648,473,523,70,287,853,896,963,995,190,740,880,129,542,152
France,Product 24,787,484,693,426,883,714,34,57,942,597,758,167,4,474,443,932,604,616,149,617,30,776,216,366,472,600,621,527,662,959,730,568,647,805,68,414,868,4,252,564,592
France,Product 25,629,260,617,223,341,487,144,394,581,590,699,101,396,79,46,916,615,59,460,519,778,752,937,671,903,219,659,753,144,200,144,271,448,879,457,333,804,612,64,336,152
France,Product 26,938,940,891,607,748,451,61,588,907,381,910,630,283,542,364,869,973,406,901,411,571,596,891,477,595,399,345,408,623,982,566,516,155,669,17,612,331,812,792,91,781
France,Product 27,756,892,101,236,891,939,786,544,57,40,964,672,486,259,927,20,631,816,105,64,149,749,799,606,974,55,137,60,335,708,116,376,712,991,887,188,951,478,802,642,796
France,Product 28,681,526,494,374,355,438,120,569,688,326,650,456,525,314,451,366,197,468,556,174,863,828,496,673,574,392,404,251,823,55,820,164,957,532,492,457,521,838,574,586,434
France,Product 29,678,922,158,877,905,283,711,27,468,475,528,632,777,538,997,372,271,696,915,753,628,251,679,634,288,574,473,385,975,355,215,477,110,296,638,449,72,421,291,908,530
France,Product 30,508,870,984,67,270,495,251,580,837,219,395,526,241,309,54,894,446,840,148,341,501,699,157,394,935,337,167,952,816,209,580,714,236,741,423,366,892,111,510,9,730
France,Product 31,539,686,550,800,100,366,958,943,801,650,453,473,254,914,380,538,828,667,623,579,672,846,527,251,4,192,800,356,759,650,512,347,410,343,17,446,60,663,748,310,751
France,Product 32,811,992,579,813,241,258,235,860,660,64,367,278,633,956,240,917,530,380,805,146,286,277,19,80,892,788,893,866,693,626,236,80,431,528,326,439,876,906,982,969,632
France,Product 33,194,88,722,316,438,877,762,797,301,106,224,110,759,95,210,909,211,641,23,862,152,646,417,396,157,673,457,232,306,760,949,290,419,761,856,306,920,246,320,710,549
France,Product 34,171,553,69,230,495,893,335,312,964,335,144,514,571,295,96,28,351,61,588,33,1000,153,327,78,45,58,687,74,443,389,205,580,86,19,918,805,155,147,165,615,375
France,Product 35,625,833,69,127,892,787,628,494,291,814,502,118,460,564,451,581,516,501,748,609,870,32,102,194,595,646,817,308,494,304,377,895,791,361,865,984,421,753,395,578,183
France,Product 36,473,671,982,172,565,835,672,724,16,148,751,380,329,988,316,105,463,266,757,517,280,416,489,668,524,197,952,266,436,657,783,672,953,436,286,610,791,566,543,170,917
France,Product 37,298,309,94,812,529,252,804,369,736,851,284,979,510,266,622,274,585,401,741,193,33,43,482,61,769,884,249,645,518,639,947,815,467,209,593,381,658,648,758,996,508
France,Product 38,55,569,336,120,407,359,304,205,341,225,762,138,912,356,607,161,79,295,430,58,160,691,590,142,973,935,231,804,861,547,171,323,753,995,124,39,58,930,486,407,319
France,Product 39,853,89,385,680,401,21,305,254,884,507,633,25,559,570,413,489,276,997,994,555,12,500,570,380,666,949,94,169,698,369,983,731,506,473,264,150,681,639,48,417,963
France,Product 40,709,566,988,160,133,395,967,745,12,899,33,594,333,574,342,630,970,632,986,237,137,703,635,723,877,940,601,904,114,822,808,142,113,643,10,767,405,813,234,118,355
France,Product 41,536,866,214,450,838,199,750,623,384,625,123,923,913,292,616,258,861,768,228,164,864,119,783,149,922,802,952,525,218,278,189,231,545,56,771,769,818,244,268,342,291
France,Product 42,90,5,288,633,921,837,824,97,989,610,588,426,202,826,704,129,38,158,589,483,680,610,36,343,160,895,933,456,933,535,101,737,335,593,87,889,990,609,999,751,379
France,Product 43,643,410,368,54,265,823,120,152,690,659,735,353,269,847,867,281,806,753,541,504,475,12,197,741,656,628,999,708,122,499,434,533,3,28,925,147,784,872,848,563,771
France,Product 44,83,685,74,40,451,377,342,43,49,472,242,203,93,892,539,639,247,360,303,59,924,807,797,238,678,231,630,832,712,653,397,696,95,538,504,684,538,333,366,986,218
France,Product 45,917,240,457,456,429,824,638,636,667,55,730,769,560,350,832,523,23,908,727,120,798,981,512,396,346,728,13,287,629,739,143,924,151,179,825,814,149,381,312,794,693
France,Product 46,314,612,807,185,893,508,613,673,700,945,96,675,761,359,220,444,599,841,965,402,231,804,117,334,897,691,614,660,799,880,462,458,342,103,156,21,751,427,750,376,622
France,Product 47,19,118,195,871,577,727,579,445,586,119,528,995,372,887,359,880,846,502,857,952,749,199,780,248,430,994,173,15,925,653,912,430,412,46,73,869,500,332,939,456,105
France,Product 48,275,631,600,314,127,351,460,745,497,102,615,629,518,84,772,467,390,614,961,322,673,379,729,170,720,1,737,367,184,346,8,407,707,158,92,621,756,404,13,122,894
France,Product 49,594,407,4,647,165,107,902,514,29,653,476,535,221,125,29,323,157,114,522,513,650,888,203,152,801,448,324,48,943,776,872,99,605,784,494,173,993,401,268,823,280
France,Product 50,200,98,917,426,363,223,692,387,609,773,214,799,258,141,941,698,238,693,356,918,449,817,598,838,620,664,373,272,673,926,879,526,375,382,432,572,603,727,459,210,179
France,Product 51,413,219,573,664,413,106,490,765,401,431,443,466,613,766,398,599,926,156,534,800,15,714,496,400,996,680,904,162,942,20,475,500,332,137,431,90,652,22,376,870,818
France,Product 52,3,761,93,244,367,873,182,31,220,723,304,486,658,637,82,671,52,372,643,734,523,721,820,650,883,64,668,616,769,789,901,221,818,467,772,959,125,617,575,487,111
France,Product 53,95,587,349,279,71,316,791,866,885,218,782,146,375,741,130,691,682,42,943,249,649,613,769,874,142,189,20,596,229,417,889,885,384,226,652,98,943,396,287,797,265
France,Product 54,27,858,359,59,590,867,460,481,287,781,915,350,5,564,530,843,722,570,80,168,796,467,954,373,325,157,3,409,178,735,55,478,638,506,908,587,697,170,98,848,349
France,Product 55,977,595,276,285,67,251,403,60,250,441,71,683,138,183,821,347,869,290,122,770,665,245,598,905,342,460,91,708,271,708,626,941,933,272,505,248,198,128,332,47,883
France,Product 56,494,870,802,462,23,773,697,301,515,541,286,84,569,803,579,626,371,197,162,311,296,359,66,961,55,26,929,82,60,271,436,443,285,48,214,116,546,90,373,940,212
France,Product 57,102,879,228,954,264,488,947,431,535,36,87,647,870,90,249,320,192,968,782,768,204,204,772,212,243,861,124,830,236,162,936,58,893,92,158,458,20,150,481,437,730
France,Product 58,13,776,631,642,738,443,541,373,601,802,527,650,601,986,536,212,907,699,197,574,400,75,170,706,486,351,113,997,996,876,906,344,724,874,903,757,125,995,404,522,58
France,Product 59,638,139,85,537,440,104,948,191,723,31,814,979,829,512,647,504,388,794,793,352,658,706,154,967,342,504,861,781,509,24,904,457,820,0,707,423,82,265,902,284,879
France,Product 60,345,744,594,428,369,921,521,514,628,816,994,432,544,512,772,190,722,585,414,312,8,379,888,83,237,932,909,262,937,381,528,227,388,61,324,10,618,851,822,917,637
France,Product 61,620,194,248,658,81,97,734,169,340,625,481,961,361,783,178,302,328,590,692,575,389,521,211,659,431,738,184,482,614,829,693,706,297,100,363,13,753,930,355,520,345
France,Product 62,892,932,824,469,775,745,285,214,316,768,838,167,940,676,828,835,529,275,288,727,560,257,207,926,337,415,705,69,510,240,152,342,127,805,146,502,732,817,860,110,44
France,Product 63,165,127,149,419,827,396,392,313,634,48,15,507,701,497,717,100,635,931,935,963,894,463,446,428,688,567,242,725,109,29,223,893,539,631,871,719,805,604,599,734,139
France,Product 64,407,765,587,94,238,505,908,617,28,624,240,1,527,644,633,766,196,596,486,775,818,514,938,980,760,631,599,841,353,61,691,179,729,756,209,894,56,166,479,901,85
France,Product 65,108,679,293,896,338,183,811,131,832,498,598,167,753,22,930,424,638,27,708,114,197,787,176,733,661,161,836,598,195,31,346,955,771,88,679,733,632,330,720,690,845
France,Product 66,645,135,414,460,502,640,117,949,985,0,375,277,531,68,661,805,516,425,353,319,796,548,626,403,674,709,914,577,237,334,231,696,13,35,929,813,594,290,779,287,655
France,Product 67,339,433,943,22,810,664,186,124,617,309,446,118,25,285,527,104,508,60,355,269,220,825,716,838,686,647,756,841,112,615,189,775,91,982,911,300,790,320,717,986,851
France,Product 68,940,976,597,855,418,243,91,662,845,737,241,559,933,179,559,321,884,522,666,477,626,595,920,800,539,206,292,114,572,765,21,567,390,214,869,128,312,470,860,65,490
France,Product 69,363,34,874,308,50,812,715,576,396,741,805,998,210,962,984,972,702,262,367,621,762,58,536,361,141,375,619,506,935,587,978,293,19,386,676,873,790,516,231,965,392
France,Product 70,936,267,717,622,667,761,208,110,420,447,307,866,549,385,910,700,734,265,659,256,589,83,904,35,178,766,113,952,279,560,404,669,631,406,330,522,145,702,934,260,144
France,Product 71,385,260,343,778,289,578,975,729,522,707,235,495,855,655,395,971,862,651,903,359,261,119,854,325,70,634,747,780,299,263,619,953,852,509,789,125,218,184,306,143,442
France,Product 72,800,265,493,135,479,789,659,83,169,443,325,248,554,638,284,217,293,772,682,363,296,606,221,769,149,612,143,393,604,374,291,979,801,680,656,523,238,613,781,779,461
France,Product 73,840,852,557,176,425,292,228,458,63,835,253,81,653,275,51,608,76,473,271,167,790,15,272,844,965,546,605,648,333,87,835,569,756,984,543,732,161,702,150,770,299
France,Product 74,599,664,100,766,728,58,284,48,563,913,25,195,286,591,211,526,565,42,509,756,141,906,540,218,728,587,78,199,42,416,61,248,433,103,978,352,536,874,32,454,336
France,Product 75,127,367,389,238,100,202,566,967,862,500,775,393,904,782,849,883,695,339,679,771,928,997,437,356,391,135,865,658,191,293,927,720,887,675,121,879,61,163,852,433,593
France,Product 76,98,856,80,219,164,692,211,602,81,56,928,168,457,187,473,925,785,88,328,545,20,78,670,980,718,832,433,41,362,424,232,792,275,886,528,0,548,607,959,139,577
France,Product 77,922,695,306,686,294,356,270,836,648,412,341,549,175,382,290,5,670,398,499,680,316,557,191,913,891,633,151,914,196,828,705,344,777,987,400,283,815,29,257,29,487
France,Product 78,484,172,574,150,730,569,534,958,167,50,301,66,799,639,572,242,330,717,788,950,317,25,783,770,386,4,459,741,673,770,534,834,420,196,496,222,935,504,302,780,774
France,Product 79,886,854,618,770,73,117,792,999,789,252,803,624,209,515,995,194,171,859,878,205,552,330,382,509,410,188,459,498,539,281,171,737,701,578,297,556,29,270,160,674,890
France,Product 80,893,204,118,566,145,64,147,140,66,197,782,638,264,852,101,529,204,770,60,701,211,809,348,775,224,897,263,997,78,47,986,150,73,102,65,844,461,885,395,881,17
France,Product 81,779,318,469,538,737,549,647,896,145,721,617,538,509,681,670,386,758,951,384,464,99,179,501,317,590,699,762,84,840,811,206,971,968,491,914,697,146,439,75,64,940
France,Product 82,738,106,788,396,22,631,470,708,499,585,865,198,931,39,875,583,898,662,979,726,118,671,8,319,772,622,272,852,335,679,256,448,985,851,816,479,885,142,631,695,703
France,Product 83,9,758,41,678,454,342,511,883,863,566,355,117,640,678,392,428,112,447,125,362,537,617,115,665,139,632,337,899,896,332,457,400,346,464,119,2,99,143,510,456,576
France,Product 84,541,149,57,126,313,253,955,828,201,639,616,806,992,666,764,887,905,305,291,154,879,218,602,687,563,687,324,239,763,99,629,591,407,128,600,501,984,141,825,945,791
France,Product 85,969,103,321,994,578,244,816,628,331,63,142,137,384,524,254,970,981,421,416,242,266,560,188,845,695,845,115,562,605,842,765,307,170,274,277,469,574,97,312,390,742
France,Product 86,214,197,406,402,49,554,179,521,622,465,604,197,899,144,243,528,786,798,190,973,744,233,407,78,130,215,74,623,741,310,95,269,133,675,336,942,511,40,293,871,678
France,Product 87,63,96,160,456,381,956,392,667,498,746,107,230,290,111,271,514,475,731,963,951,496,461,352,246,932,812,315,87,540,11,935,926,947,30,749,614,685,819,320,3,223
France,Product 88,406,488,912,219,216,954,201,327,476,336,853,691,741,935,385,903,269,125,315,984,828,76,714,505,702,50,518,844,900,625,740,157,775,676,4,12,4,652,485,585,397
France,Product 89,742,827,318,334,624,2,463,858,633,963,683,418,769,707,108,186,654,998,287,818,633,824,614,582,382,442,731,383,836,357,44,280,931,323,527,766,521,96,804,425,483
France,Product 90,883,583,32,498,28,439,328,875,538,110,76,81,752,830,739,989,985,346,703,4,326,780,701,413,837,963,38,641,933,903,705,223,444,290,598,828,323,335,380,367,688
France,Product 91,854,874,433,430,313,353,451,886,680,663,341,880,650,803,945,389,198,917,771,586,192,319,383,507,616,189,181,388,350,862,449,475,50,685,300,573,475,509,818,374,499
France,Product 92,676,641,189,782,161,528,352,929,953,268,259,430,50,570,170,27,208,657,439,626,982,349,222,533,772,597,698,235,704,545,668,145,921,963,805,34,48,241,526,626,614
France,Product 93,591,863,282,474,106,63,558,496,886,379,559,4,573,147,342,468,451,245,970,909,743,383,111,253,823,248,402,753,697,271,261,942,218,161,714,973,482,327,241,989,542
France,Product 94,169,855,966,164,872,194,848,193,857,496,861,154,282,251,665,807,696,946,370,381,44,351,865,97,17,503,666,851,676,433,666,371,545,640,601,756,574,349,355,848,776
France,Product 95,249,642,951,776,941,476,596,361,848,91,520,531,283,290,599,783,839,200,251,543,865,974,24,676,136,633,625,685,938,168,846,816,209,2,443,419,893,922,697,591,444
France,Product 96,917,447,122,876,731,556,763,672,415,588,863,387,684,157,312,65,1,64,49,915,804,1,949,950,312,995,257,633,769,571,163,829,415,211,388,932,569,181,395,469,678
France,Product 97,512,888,556,359,265,456,326,845,9,387,23,186,79,839,328,158,534,33,995,764,69,306,609,940,159,187,454,830,925,712,188,186,451,99,446,621,610,536,572,169,611
France,Product 98,538,389,264,15,25,66,814,582,819,225,112,202,542,704,677,628,106,800,670,902,268,381,542,326,787,605,751,993,179,672,685,24,449,168,2,54,71,240,383,877,33
France,Product 99,226,845,800,294,138,994,542,752,322,13,916,933,62,89,557,480,349,635,202,900,431,339,823,471,157,381,728,21,368,976,771,384,735,446,559,838,677,49,963,160,483
France,Product 100,103,117,129,938,171,637,329,753,389,893,666,321,276,136,76,581,244,915,300,444,10,136,909,301,871,850,448,767,722,271,496,138,936,456,444,391,992,88,237,494,517
France,Product 101,533,906,381,388,935,924,574,474,971,562,947,878,381,916,392,580,806,940,292,160,769,892,611,546,50,162,702,647,363,943,146,26,597,935,29,508,507,108,71,795,830
France,Product 102,952,510,134,581,845,354,337,37,167,135,205,879,311,537,842,446,236,271,227,997,563,813,203,141,394,358,725,482,401,226,667,759,46,804,732,139,157,46,702,674,322
France,Product 103,714,571,773,901,455,768,853,602,253,186,258,526,381,917,369,419,27,974,97,438,786,534,384,51,299,69,802,306,659,629,927,711,536,229,162,154,1000,618,688,675,216
France,Product 104,16,618,741,834,653,860,795,533,915,321,127,81,551,919,750,882,913,766,606,518,413,257,54,46,700,229,649,115,228,332,656,451,531,1,562,398,995,224,985,69,497
France,Product 105,863,652,993,887,416,783,522,668,284,773,958,659,630,620,753,509,740,449,186,456,562,652,115,760,906,216,786,648,183,987,986,789,168,322,125,537,252,583,827,642,840
France,Product 106,130,90,642,494,178,876,607,665,932,707,53,48,982,95,515,215,293,991,45,365,822,27,255,257,539,765,972,153,240,940,563,188,810,367,150,293,896,337,19,983,441
France,Product 107,177,499,618,130,509,850,491,988,687,372,488,887,713,700,274,852,75,737,721,994,630,646,611,732,390,0,184,617,879,827,814,583,483,425,322,164,652,38,889,741,502
France,Product 108,783,545,368,63,787,757,234,972,21,319,563,306,240,448,397,938,56,490,169,721,270,184,410,760,532,22,87,916,46,349,437,500,7,773,111,768,529,888,607,221,167
France,Product 109,877,668,686,963,680,31,980,279,691,944,88,767,993,715,489,635,341,413,531,187,96,325,406,155,516,898,500,622,408,163,886,67,843,849,246,502,973,521,842,421,811
France,Product 110,120,616,26,616,751,391,550,39,17,46,962,291,461,700,673,33,520,263,831,975,758,541,595,547,604,223,832,928,921,960,720,554,280,571,216,49,818,329,95,278,521
France,Product 111,547,60,934,252,726,809,27,625,867,70,235,362,810,97,777,542,89,206,54,312,581,949,126,440,815,858,793,515,943,16,831,124,554,848,357,90,437,324,131,752,642
France,Product 112,129,636,405,967,631,766,400,388,418,340,633,0,171,14,732,255,310,893,873,799,541,574,738,914,918,587,24,883,638,718,193,193,450,431,498,58,80,758,60,200,179
France,Product 113,558,319,942,712,468,80,520,578,474,949,215,372,235,792,646,910,516,831,222,39,728,96,605,233,928,748,178,168,819,315,275,471,163,465,203,61,50,948,6,862,375
France,Product 114,423,979,145,210,679,269,394,604,738,526,523,526,578,546,309,783,869,204,960,625,887,802,571,116,181,960,889,853,445,725,411,8,439,478,866,486,849,53,789,388,880
France,Product 115,569,594,645,160,858,990,75,32,679,158,472,843,227,820,517,550,861,731,679,611,477,204,644,362,345,301,397,99,512,11,696,289,951,409,584,485,121,176,894,84,714
France,Product 116,382,188,738,996,380,123,16,406,470,597,167,623,799,883,1,504,460,939,152,740,936,198,153,375,530,883,864,587,13,966,886,481,535,904,800,831,864,807,63,253,551
France,Product 117,207,687,81,681,239,144,145,331,400,938,417,731,856,417,95,128,240,998,582,74,772,551,552,551,65,553,468,821,217,256,208,822,905,779,324,74,724,656,471,800,456
France,Product 118,157,71,161,865,876,215,504,998,123,584,862,695,806,139,602,858,656,111,927,630,438,37,889,413,943,899,23,820,50,170,630,98,33,962,638,982,725,109,199,283,387
France,Product 119,305,184,687,219,192,322,863,52,52,361,547,421,367,862,164,227,563,662,143,495,608,786,631,45,844,722,400,686,895,485,571,276,461,708,256,73,756,236,482,746,304
France,Product 120,838,656,658,274,802,537,598,174,781,731,476,64,316,808,84,806,384,646,940,801,244,681,49,153,748,52,127,454,209,530,96,730,642,946,819,905,630,441,721,831,977
France,Product 121,720,269,696,201,844,698,189,78,824,426,733,853,942,74,887,605,205,590,564,464,625,505,102,532,176,314,728,892,869,657,467,123,53,179,201,309,270,366,267,912,385
France,Product 122,791,446,223,416,444,402,771,915,102,432,83,68,285,547,286,123,464,432,738,730,646,892,397,825,826,640,692,450,2,498,167,197,585,546,447,548,133,249,342,223,222
France,Product 123,736,909,270,120,398,506,193,472,575,855,690,256,885,51,710,35,182,372,595,68,403,466,124,613,518,203,69,523,17,116,86,413,434,858,469,994,676,790,649,454,898
France,Product 124,648,50,346,102,203,490,260,489,94,206,81,636,425,922,97,792,339,946,113,619,595,305,149,122,482,174,320,107,789,742,102,819,781,910,938,808,335,730,377,858,956
France,Product 125,711,960,629,259,600,64,332,608,307,67,49,131,159,257,636,95,550,798,481,679,195,11,123,912,187,111,34,133,516,1,739,668,193,848,723,16,430,905,561,154,651
France,Product 126,252,60,674,234,628,789,1,186,485,655,20,74,483,210,339,948,134,23,414,617,694,465,626,37,920,654,340,481,22,832,909,788,766,380,879,235,369,216,917,184,148
France,Product 127,503,951,229,869,793,948,815,270,737,475,827,921,312,707,118,335,388,90,573,939,408,685,407,291,122,982,486,311,186,616,676,694,85,328,245,610,905,763,722,756,850
France,Product 128,306,603,778,387,314,83,792,907,381,581,326,715,543,228,581,948,645,316,507,43,487,970,720,173,869,319,697,241,986,574,139,948,695,603,797,504,567,50,217,228,108
France,Product 129,698,826,130,145,308,24,783,706,446,747,463,129,913,759,376,101,259,641,558,649,107,446,970,894,248,365,466,546,397,465,208,883,279,784,672,48,621,738,315,281,247
France,Product 130,190,25,409,445,258,279,143,845,534,812,544,597,60,904,280,301,732,62,718,564,622,815,30,87,284,260,340,103,975,681,209,861,628,790,184,173,332,122,572,532,195
France,Product 131,664,825,41,798,29,598,93,952,587,442,453,642,704,54,610,963,650,626,664,686,698,807,554,974,40,952,864,842,530,761,558,180,932,922,571,225,22,947,561,175,369
France,Product 132,54,85,290,986,355,249,836,158,601,638,508,651,358,614,229,193,308,617,421,730,286,866,989,808,890,558,314,396,465,728,770,542,679,90,127,456,467,598,23,885,218
France,Product 133,161,39,569,132,576,54,751,565,928,996,544,862,530,60,630,237,787,882,676,918,104,805,949,457,204,726,189,352,183,894,167,136,485,139,85,574,614,562,495,268,43
France,Product 134,891,54,737,83,130,66,668,21,728,251,275,328,37,303,697,350,765,590,865,174,433,471,391,588,718,417,187,217,538,503,895,723,530,457,842,681,44,772,832,239,613
France,Product 135,705,527,127,616,838,80,148,410,76,273,503,809,104,454,409,679,410,832,291,70,877,640,421,568,592,365,632,305,439,32,95,100,43,107,884,881,644,262,94,330,2
France,Product 136,872,614,440,463,246,425,401,168,989,421,320,144,568,322,505,652,39,679,676,923,245,356,692,146,100,719,568,369,555,871,410,952,359,712,474,509,473,24,204,357,747
France,Product 137,242,850,479,485,508,661,785,331,288,110,931,443,610,654,978,809,861,862,1,605,556,646,396,937,786,925,833,85,84,679,841,120,422,990,868,230,645,341,338,659,23
France,Product 138,955,652,897,268,788,263,689,26,192,604,254,10,279,324,683,895,279,759,357,118,354,62,695,183,634,313,884,400,610,510,924,585,636,976,624,425,115,204,390,446,786
France,Product 139,679,951,852,545,810,603,419,903,454,41,852,872,878,717,26,192,505,767,588,419,992,781,853,959,207,364,732,788,420,139,30,784,670,19,181,577,180,425,254,598,687
France,Product 140,887,405,554,468,296,320,567,79,811,79,581,758,176,8,786,315,789,17,548,359,861,746,349,269,444,588,145,911,346,151,63,655,837,235,39,599,369,166,564,112,35
France,Product 141,765,655,174,140,131,100,677,842,647,36,974,199,78,645,178,340,215,144,621,926,672,626,496,95,260,423,847,726,748,434,8,372,718,284,605,652,401,115,583,235,765
France,Product 142,425,575,728,341,546,632,661,264,651,311,783,934,434,969,215,850,535,515,205,688,437,25,360,632,590,163,759,739,867,983,610,663,898,512,170,640,882,868,92,356,669
France,Product 143,501,81,458,465,332,501,887,564,505,702,565,37,27,67,342,82,795,572,800,181,406,797,930,699,48,308,482,749,478,491,822,742,277,369,887,318,648,366,851,526,88
France,Product 144,129,732,928,899,594,701,780,993,209,346,477,952,232,593,809,974,550,165,291,417,801,939,148,668,706,178,368,448,40,120,729,206,300,139,258,903,903,524,865,132,691
France,Product 145,805,133,296,192,285,163,90,499,219,865,630,608,84,205,230,177,536,664,109,375,224,525,374,586,173,141,913,28,718,50,577,806,941,225,757,284,436,894,128,674,15
France,Product 146,243,296,260,2,892,489,152,158,549,667,867,318,596,288,926,415,624,633,538,151,668,836,819,164,430,118,497,144,405,223,39,884,970,711,811,302,412,423,132,816,105
France,Product 147,919,696,86,316,571,622,632,658,58,75,145,762,183,600,363,668,338,292,914,607,771,703,743,639,369,117,208,575,852,575,837,502,33,289,629,49,548,170,207,217,982
France,Product 148,697,249,516,877,543,150,434,687,438,129,318,320,410,191,231,123,15,226,689,483,773,938,977,803,921,381,944,833,9,129,519,736,29,586,573,58,692,29,49,968,59
France,Product 149,997,391,819,235,65,680,302,507,677,764,885,929,583,369,593,713,635,489,445,215,939,948,788,86,1,394,1,51,172,453,140,149,285,280,247,382,879,171,541,10,780
